drummer,genre
アート・テイラー,ジャズ
アート・ブレイキー,ジャズ
アイアート・モレイラ,"ラテン, ジャズ, フュージョン"
アイ高野,ロック
青木達之,スカ
青山純,"フュージョン, J-POP"
浅野良治,ロック
麻生祥一郎,"ロック, J-POP, ジャズ, ハードロック, メタル"
アヒト・イナザワ,ロック
阿部薫,"ロック, J-POP"
あらきゆうこ,"J-POP, ロック"
アラン・ホワイト,ロック
アル・ジャクソン,"ソウル, R&B"
アール・パーマー,"R&B, ロック, ジャズ"
アル・フォスター,ジャズ
アレックス・アクーニャ,"ジャズ, フュージョン, ジャズ, ポップス"
アレックス・ヴァン・ヘイレン,"メタル, ハードロック"
アンダース・ヨハンソン,"フュージョン, ヘビーメタル"
アンディ・スターマー,"ポップ, ロック"
アンディ・ニューマーク,"ロック, ソウル, ファンク, R&B"
アンドリュー・マカロック,ロック
アンディ・ウォード,ロック
アントニオ・サンチェス,ジャズ
アントン・フィグ,"ロック, フュージョン"
イアン・ウォーレス,"ロック, ジャズ, ブルーズ"
イアン・ペイス,"ハードロック, ヘヴィメタル"
イェスパー・ストロムブラード ,"ハードロック, ヘヴィメタル"
五十嵐公太,"J-POP, ロック, ヘヴィメタル"
池畑潤二,"ロック, R&B"
Isao Cato,"サンバ, ラテン"
石川晶,ジャズ
伊地知潔,ロック
伊藤薫,J-POP
伊藤大助,"ジャズ, ソウル, J-POP"
伊藤大地,"ロック, J-POP"
猪俣猛,ジャズ
伊吹文裕,"J-POP, ロック"
今村舞,"J-POP, ロック"
IWASAKI,ロック
岩田ガンタ康彦,J-POP
インゴ・シュヴィヒテンバーグ,"メタル, ハードロック"
上田雅利,J-POP
植田芳暁,J-POP
上原彰兼,ロック
上原裕,ロック
ヴァーネル・フォーニア,ジャズ
ヴァルグ・ヴィーケネス,メタル
ヴィットーリオ・シクバルディ,ジャズ
ヴィニー・アピス,ロック
ヴィニー・カリウタ,"ロック, ポップス, ジャズ, ファンク, カントリー, ヘヴィメタル"
ウィリー・ボボ,"ラテン, ジャズ"
ヴェサ・ランタ,ヘヴィメタル
内田稔,"J-POP, ロック"
宇津本直紀,J-POP
宇乃かつを,J-POP
浦山一悟,ロック
ウリ・カッシュ,ヘヴィメタル
エイドリアン・アーランドソン ,"メタル, ハードロック"
英竜介,ロック
エインズレー・ダンバー,"ジャズ, ブルース, フュージョン, ロック, プログレッシブ・ロック"
江川ゲンタ,J-POP
江口信夫,"J-POP, ロック"
江島啓一,"ロック, J-POP"
エットレ・リゴッティ,ヘヴィメタル
衛藤浩一,ロック
エド・ウドハス,ロック
エド・グラハム,ロック
江藤良人,"J-POP, ロック"
エリック・カー,"ハードロック, ヘヴィメタル"
エリック・シンガー,ロック
エリック・ハーランド,ジャズ
エルヴィン・ジョーンズ,ジャズ
大口広司,J-POP
大久保敦夫,J-POP
大倉忠義,J-POP
大坂昌彦,ジャズ
大島賢治,"ロック, J-POP"
大橋彩香,J-POP
大間ジロー,J-POP
小倉誠司,"ロック, J-POP"
小田原豊 ,"ロック, J-POP"
岡本郭男,"ロック, ジャズ, フュージョン"
"小畑""PUMP""隆彦",ロック
オマー・ハキム,"ジャズ, フュージョン, ポップス, ファンク, ロック"
オルヴェ・エイケモ,ヘヴィメタル
カーマイン・アピス,ロック
カール・サンダース,ヘヴィメタル
カール・パーマー,ロック
カールトン・バレット,レゲエ
戒,ロック
カイ・ハフト,ロック
柿健一 ,パンク
梶谷雅弘,ロック
かしぶち哲郎,"J-POP, ロック"
梶原徹也,ロック
KAZUSHI,ロック
加藤健治,ジャズ
加藤茶,コメディ
かどしゅんたろう,"J-POP, ロック, メタ, ジャズ"
金山典世,"J-POP, ロック"
金子ノブアキ,ロック
Kami,ロック
かみじょうちひろ,ロック
上領亘,"テクノ, ロック"
亀井亨,ロック
カレン・カーペンター,ポップス
川口千里,"フュージョン, ロック, ジャズ, J-POP"
川西幸一,ロック
川原洋二,"J-POP, ロック"
川村恵里加,ロック
河村カースケ智康,"J-POP, ロック"
キース・ヌードセン,"ロック, ポップス, R&B, ソウル"
キース・ムーン,"	ロック, ポップス, R&B, ハードロック"
菊住守代司,ロック
菊地英二,"ロック, J-POP"
菊地哲,ロック
木田高介,J-POP
北尾一人,J-POP
木村万作,"J-POP, フュージョン"
きりばやしひろき,ロック
工藤義弘,"ハードロック, ヘヴィメタル, ヘヴィメタル"
クハラカズユキ,ロック
